ltar_roi_id,time_period,l8_and_s2_matches,scenes_available,planet_scene_id,l8_scene_id,s2_scene_id,notes
jer-3,2020-05-20,30,TRUE,20200514_172800_55_106e,LC08_L2SP_030039_20200519_02_T1,S2B_MSIL2A_20200512T171849_R012_T13RGP_20200917T233041,
jer-3,2020-07-20,17,TRUE,20200715_172537_74_106b,,S2B_MSIL2A_20200721T171859_R012_T13RGP_20200817T012337,
jer-3,2020-09-20,17,TRUE,20200916_172155_73_106d,,S2A_MSIL2A_20200927T173111_R055_T13RGP_20200929T002455,
kbs-1,2020-05-20,5,TRUE,20200521_155826_36_1063,LC08_L2SP_020030_20200513_02_T1,S2A_MSIL2A_20200512T162901_R083_T17TLJ_20200917T215315,
kbs-1,2020-07-20,6,TRUE,20200725_163221_67_1064,,S2A_MSIL2A_20200728T161911_R040_T17TLJ_20200817T210959,
kbs-1,2020-09-20,25,TRUE,20200922_155603_15_1069,LC08_L2SP_021030_20200925_02_T1,S2B_MSIL2A_20200921T161859_R040_T16TGP_20200924T101504,
kbs-2,2020-05-20,1,TRUE,20200516_161128_59_1062,LC08_L2SP_021030_20200520_02_T1,S2B_MSIL2A_20200520T163839_R126_T16TFP_20200910T093110,
kbs-2,2020-07-20,2,TRUE,20200721_164340_95_1064,,S2A_MSIL2A_20200724T163901_R126_T16TFP_20200817T090821,
kbs-2,2020-09-20,24,TRUE,20200918_164523_00_105d,LC08_L2SP_021030_20200925_02_T1,S2A_MSIL2A_20200919T162951_R083_T16TFN_20200922T200954,
kbs-3,2020-05-20,0,FALSE,,,,
kbs-3,2020-07-20,0,FALSE,,,,
kbs-3,2020-09-20,22,TRUE,20200919_164622_71_1057,LC08_L2SP_021031_20200925_02_T1,S2A_MSIL2A_20200919T162951_R083_T16TEM_20200922T200632,
lcb-1,2020-05-20,8,TRUE,20200523_154452_97_1065,,S2B_MSIL2A_20200515T154809_R054_T17SQB_20200918T085204,
lcb-1,2020-07-20,19,TRUE,20200722_154401_16_106d,LC08_L2SP_016034_20200720_02_T1,S2B_MSIL2A_20200727T155829_R097_T17SQB_20200817T193359,
lcb-1,2020-09-20,24,TRUE,20200922_155012_35_105c,LC08_L2SP_016034_20200922_02_T1,S2B_MSIL2A_20200922T154859_R054_T17SQB_20200926T064957,
lcb-2,2020-07-20,7,TRUE,20200714_160418_35_105d,LC08_L2SP_015032_20200729_02_T1,S2B_MSIL2A_20200714T154809_R054_T18TUK_20200918T204910,
lcb-2,2020-05-20,,FALSE,,,,
lcb-2,2020-09-20,25,TRUE,20200919_161016_65_105a,LC08_L2SP_015032_20200915_02_T1,S2B_MSIL2A_20200922T154859_R054_T18TUK_20200926T064929,
lcb-3,2020-05-20,5,FALSE,,,,
lcb-3,2020-07-20,8,TRUE,20200721_155837_35_105a,LC08_L2SP_015032_20200729_02_T1,S2B_MSIL2A_20200714T154809_R054_T18TVK_20200918T204940,
lcb-3,2020-09-20,21,TRUE,20200921_160244_54_1064,LC08_L2SP_015032_20200915_02_T1,S2B_MSIL2A_20200922T154859_R054_T18TVK_20200926T064908,
lmrb-1,2020-05-20,3,TRUE,20200519_165352_32_105a,LC08_L2SP_023038_20200518_02_T1,,
lmrb-1,2020-07-20,2,TRUE,20200717_163910_31_106b,,S2A_MSIL2A_20200714T163901_R126_T15SXR_20200913T034824,
lmrb-1,2020-09-20,,FALSE,,,,
lmrb-2,2020-05-20,,FALSE,,,,
lmrb-2,2020-07-20,9,TRUE,20200715_163518_08_1063,,S2B_MSIL2A_20200719T163839_R126_T15SXV_20200816T190322,
lmrb-2,2020-09-20,6,TRUE,20200914_165937_42_105d,,S2A_MSIL2A_20200915T164931_R026_T15SXV_20200918T092730,
lmrb-3,2020-05-20,13,TRUE,20200525_164609_59_105e,LC08_L2SP_022035_20200511_02_T1,,
lmrb-3,2020-07-20,2,TRUE,20200721_162416_39_1065,LC08_L2SP_022034_20200714_02_T1,S2A_MSIL2A_20200714T163901_R126_T16SCF_20200913T034839,
lmrb-3,2020-09-20,16,TRUE,20200916_162400_99_106b,,S2B_MSIL2A_20200917T163839_R126_T16SCF_20200920T010928,
np-1,2020-05-20,6,TRUE,20200522_171036_50_1063,LC08_L2SP_032027_20200517_02_T1,S2B_MSIL2A_20200528T173909_R098_T13TGN_20200911T080838,
np-1,2020-07-20,22,TRUE,20200719_170519_46_106e,LC08_L2SP_033027_20200727_02_T1,S2B_MSIL2A_20200727T173909_R098_T13TGN_20200817T194427,
np-1,2020-09-20,17,TRUE,20200922_175657_32_105a,LC08_L2SP_032027_20200922_02_T1,S2A_MSIL2A_20200920T174031_R098_T13TGN_20200922T230442,
np-2,2020-05-20,7,TRUE,20200519_171136_79_106e,LC08_L2SP_034026_20200515_02_T1,S2A_MSIL2A_20200516T174911_R141_T13UFQ_20200909T212613,
np-2,2020-07-20,10,TRUE,20200715_171324_30_1065,,S2A_MSIL2A_20200715T174911_R141_T13UFP_20200912T041244,
np-2,2020-09-20,23,TRUE,20200922_170549_36_106a,LC08_L2SP_034026_20200920_02_T1,S2B_MSIL2A_20200918T174919_R141_T13UFP_20200921T084005,
np-3,2020-05-20,6,TRUE,20200523_170413_53_106d,LC08_L2SP_032028_20200517_02_T1,S2B_MSIL2A_20200528T173909_R098_T14TMR_20200918T190424,
np-3,2020-07-20,25,TRUE,20200714_170135_52_1063,,S2A_MSIL2A_20200719T172901_R055_T14TMS_20200816T174725,
np-3,2020-09-20,28,TRUE,20200920_174331_99_1058,LC08_L2SP_032028_20200922_02_T1,S2B_MSIL2A_20200922T172929_R055_T14TMS_20200926T063844,
prhpa-1,2020-05-20,3,TRUE,20200514_170555_28_1063,,S2A_MSIL2A_20200520T172901_R055_T14TML_20200910T080917,
prhpa-1,2020-07-20,19,TRUE,20200718_173542_00_1060,,S2A_MSIL2A_20200716T171901_R012_T14TML_20200816T083523,
prhpa-1,2020-09-20,14,TRUE,20200923_165757_29_1067,LC08_L2SP_030031_20200924_02_T1,S2A_MSIL2A_20200924T172051_R012_T14TNL_20200926T123121,
prhpa-2,2020-05-20,,FALSE,,,,
prhpa-2,2020-07-20,16,TRUE,20200718_165207_22_1062,,S2A_MSIL2A_20200713T170901_R112_T15TTE_20200913T010104,
prhpa-2,2020-09-20,14,TRUE,20200915_164839_35_106b,LC08_L2SP_029032_20200917_02_T1,S2A_MSIL2A_20200921T171021_R112_T14TPK_20200924T100411,
prhpa-3,2020-05-20,0,FALSE,,,,
prhpa-3,2020-07-20,15,TRUE,20200725_165209_60_1067,,S2A_MSIL2A_20200716T171901_R012_T14TPM_20201027T082607,
prhpa-3,2020-09-20,22,TRUE,20200923_173132_05_105a,LC08_L2SP_029030_20200917_02_T1,S2A_MSIL2A_20200914T171941_R012_T14TPN_20200917T132313,
sp-1,2020-05-20,8,TRUE,20200517_171221_22_106c,,S2A_MSIL2A_20200517T171901_R012_T14SME_20200909T235520,
sp-1,2020-07-20,0,FALSE,,,,
sp-1,2020-09-20,28,TRUE,20200920_173705_97_1060,,S2A_MSIL2A_20200924T172051_R012_T14SME_20200926T122759,
sp-2,2020-05-20,24,TRUE,20200524_171156_46_106b,,S2A_MSIL2A_20200517T171901_R012_T14SMB_20200909T235516,
sp-2,2020-07-20,21,TRUE,20200716_171142_62_1067,,S2A_MSIL2A_20200716T171901_R012_T14SMC_20200816T083508,
sp-2,2020-09-20,21,TRUE,20200916_170557_08_1063,,S2A_MSIL2A_20200924T172051_R012_T14SMC_20200926T123245,
sp-3,2020-05-20,13,TRUE,20200520_170247_65_106a,,S2B_MSIL2A_20200519T170849_R112_T14SPF_20200910T064129,
sp-3,2020-07-20,3,TRUE,20200714_171243_85_105c,,S2B_MSIL2A_20200718T170849_R112_T14SNF_20200816T162317,
sp-3,2020-09-20,20,TRUE,20200925_172543_16_1064,LC08_L2SP_028035_20200926_02_T1,S2B_MSIL2A_20200926T170959_R112_T14SPF_20200927T201337,
tg-1,2020-05-20,4,TRUE,20200520_170938_93_106b,,S2B_MSIL2A_20200519T170849_R112_T14RPU_20200910T064117,
tg-1,2020-07-20,,FALSE,,,,
tg-1,2020-09-20,7,TRUE,20200920_172032_21_105a,LC08_L2SP_026039_20200912_02_T1,S2A_MSIL2A_20200918T165951_R069_T14RPU_20200921T084318,
tg-2,2020-05-20,14,TRUE,20200514_171931_04_1061,,S2B_MSIL2A_20200519T170849_R112_T14SNA_20200910T064124,
tg-2,2020-07-20,19,TRUE,20200714_172023_44_1061,LC08_L2SP_027038_20200717_02_T1,S2A_MSIL2A_20200713T170901_R112_T14SPA_20200913T010026,
tg-2,2020-09-20,7,TRUE,20200920_172920_75_105d,,S2B_MSIL2A_20200926T170959_R112_T14SNA_20200927T201338,
tg-3,2020-05-20,2,TRUE,20200518_170459_47_1063,,S2B_MSIL2A_20200519T170849_R112_T14SPA_20200910T064131,
tg-3,2020-07-20,17,TRUE,20200716_170234_38_106b,LC08_L2SP_027038_20200717_02_T1,S2A_MSIL2A_20200720T165901_R069_T14SPA_20200816T203824,
tg-3,2020-09-20,2,TRUE,20200920_165700_83_1062,LC08_L2SP_026038_20200928_02_T1,S2A_MSIL2A_20200928T170111_R069_T14SQA_20200930T171700,
ucb-1,2020-05-20,,FALSE,,,,
ucb-1,2020-07-20,1,TRUE,20200715_160446_13_1057,,S2B_MSIL2A_20200727T155829_R097_T18TUM_20200817T193439,
ucb-1,2020-09-20,17,TRUE,20200923_160651_12_105d,LC08_L2SP_015031_20200915_02_T1,S2B_MSIL2A_20200922T154859_R054_T18TUM_20200926T064926,
ucb-2,2020-05-20,,FALSE,,,,
ucb-2,2020-07-20,17,TRUE,20200715_161412_17_1064,LC08_L2SP_016032_20200720_02_T1,,
ucb-2,2020-09-20,12,TRUE,20200919_154002_02_106c,LC08_L2SP_016032_20200922_02_T1,S2A_MSIL2A_20200920T155941_R097_T17TPE_20200922T232008,
ucb-3,2020-05-20,0,FALSE,,,,
ucb-3,2020-07-20,5,TRUE,20200718_161134_80_1058,LC08_L2SP_016034_20200720_02_T1,S2A_MSIL2A_20200722T155911_R097_T17SPB_20200817T025239,
